id,red1,red2,red3,red4,red5,red6,blue
2020014,2,7,8,10,12,16,7
2020013,2,8,10,20,21,30,14
2020012,4,13,14,23,26,31,9
2020011,4,5,7,17,18,29,1
2020010,11,14,22,27,31,32,9
2020009,3,6,8,14,19,26,12
2020008,1,4,6,10,11,28,16
2020007,5,12,17,20,25,31,10
2020006,3,4,5,10,16,32,9
2020005,11,16,17,22,26,32,4
2020004,2,15,17,27,32,33,3
2020003,9,17,26,29,30,32,3
2020002,4,9,14,15,16,29,11
2020001,2,15,23,26,29,30,2
2019151,2,6,9,18,24,26,14
2019150,2,9,14,22,27,29,2
2019149,1,6,27,28,31,33,7
2019148,9,10,13,20,26,27,8
2019147,1,9,12,14,23,27,12
2019146,1,4,10,12,30,32,14
2019145,1,8,13,17,18,19,16
2019144,2,12,15,19,27,30,3
2019143,5,13,15,16,26,32,9
2019142,8,14,24,27,29,33,9
2019141,10,13,14,15,17,33,14
2019140,2,4,9,11,14,22,5
2019139,8,14,20,23,30,33,11
2019138,2,6,12,30,31,32,11
2019137,7,10,13,19,23,31,6
2019136,12,14,15,17,29,33,12
2019135,3,6,10,11,27,33,3
2019134,1,4,6,22,29,30,3
2019133,3,7,16,21,24,31,7
2019132,4,6,11,14,19,33,7
2019131,9,17,19,20,24,31,4
2019130,1,7,9,11,24,32,16
2019129,3,4,7,9,15,26,7
2019128,3,8,12,16,17,19,8
2019127,2,6,7,12,17,24,10
2019126,2,14,17,29,32,33,16
2019125,2,11,12,26,27,29,3
2019124,4,9,30,31,32,33,1
2019123,2,6,8,17,28,30,6
2019122,4,10,15,19,21,23,2
2019121,2,6,15,21,30,31,2
2019120,10,12,27,31,32,33,3
2019119,4,20,22,24,26,33,7
2019118,12,14,15,25,28,31,4
2019117,3,5,11,28,32,33,1
2019116,1,8,9,13,16,33,1
2019115,4,10,11,14,15,29,5
2019114,2,4,9,11,12,30,1
2019113,1,5,19,21,25,33,15
2019112,3,12,14,17,23,27,1
2019111,7,18,20,22,24,33,1
2019110,1,18,22,26,27,28,8
2019109,3,6,7,17,28,31,10
2019108,7,13,19,22,25,32,13
2019107,2,6,8,23,27,32,2
2019106,2,14,22,27,30,33,14
2019105,2,13,15,17,26,33,1
2019104,1,5,16,17,18,24,10
2019103,4,12,14,21,27,29,12
2019102,3,8,12,16,20,32,12
2019101,1,4,9,21,31,33,5
2019100,1,4,12,13,30,32,8
2019099,7,14,22,23,27,30,8
2019098,3,11,12,14,17,26,9
2019097,3,5,18,24,25,31,9
2019096,5,7,12,18,27,32,11
2019095,2,5,14,19,21,28,1
2019094,5,10,12,18,19,27,6
2019093,5,7,8,9,20,22,2
2019092,9,17,27,28,32,33,8
2019091,7,10,21,24,29,32,11
2019090,2,3,6,8,14,22,4
2019089,2,4,14,16,20,22,11
2019088,13,14,15,21,23,29,13
2019087,4,5,7,9,21,30,4
2019086,16,22,24,26,28,31,6
2019085,1,4,14,18,24,29,4
2019084,4,8,14,18,20,27,3
2019083,6,15,17,26,28,31,3
2019082,7,16,19,22,24,28,2
2019081,5,24,27,29,31,32,10
2019080,3,6,8,20,24,32,7
2019079,1,3,6,9,19,31,16
2019078,1,17,27,29,31,33,12
2019077,9,11,13,18,21,22,15
2019076,12,15,19,20,29,32,14
2019075,5,8,20,22,31,33,3
2019074,12,21,27,29,31,33,4
2019073,1,2,6,12,16,18,8
2019072,2,9,13,15,22,30,15
2019071,1,8,19,24,29,30,4
2019070,6,15,18,19,24,32,9
2019069,6,11,16,19,21,25,1
2019068,3,14,20,24,26,33,10
2019067,4,6,8,11,30,33,11
2019066,1,14,17,20,22,32,4
2019065,6,9,11,15,20,26,10
2019064,12,20,24,25,30,33,12
2019063,1,14,19,22,29,31,16
2019062,7,13,16,23,26,30,1
2019061,3,17,19,24,27,31,12
2019060,3,4,14,20,23,27,1
2019059,4,5,7,9,16,18,6
2019058,7,8,12,21,23,27,12
2019057,4,5,6,8,13,18,16
2019056,13,14,17,19,21,29,1
2019055,1,6,11,15,19,31,10
2019054,7,10,11,15,24,26,11
2019053,4,16,22,25,29,31,8
2019052,3,6,9,13,16,19,16
2019051,8,9,10,13,15,28,9
2019050,4,6,10,11,21,23,2
2019049,3,10,13,22,23,28,15
2019048,3,7,10,12,18,29,10
2019047,3,11,18,25,30,33,14
2019046,2,12,16,22,25,32,6
2019045,1,6,17,19,27,31,14
2019044,6,14,16,17,23,29,7
2019043,1,6,12,13,24,32,13
2019042,15,17,19,22,25,26,4
2019041,2,9,13,23,24,26,16
2019040,5,6,9,18,23,31,11
2019039,6,7,11,14,27,32,8
